YYYYMMDD,19760923
DDDYYYY hh-hh:mm,2671976 11-11:11
DDDYYYY hh-hhmm,2671976 11-1111
DDDYYYY hh-hh,2671976 11-11
DDDYYYYThhmmZ,2671976T1111Z
DDDYYYYThhmm+hh:mm,2671976T1111+11:11
DDDYYYYThhmm+hhmm,2671976T1111+1111
DDDYYYYThhmm+hh,2671976T1111+11
DDDYYYYThhmm-hh:mm,2671976T1111-11:11
DDDYYYYThhmm-hhmm,2671976T1111-1111
DDDYYYYThhmm-hh,2671976T1111-11
DDDYYYY hhmmZ,2671976 1111Z
DDDYYYY hhmm+hh:mm,2671976 1111+11:11
DDDYYYY hhmm+hhmm,2671976 1111+1111
DDDYYYY hhmm+hh,2671976 1111+11
DDDYYYY hhmm-hh:mm,2671976 1111-11:11
DDDYYYY hhmm-hhmm,2671976 1111-1111
DDDYYYY hhmm-hh,2671976 1111-11
DDDYYYYThhmmssZ,2671976T111111Z
DDDYYYYThhmmss+hh:mm,2671976T111111+11:11
DDDYYYYThhmmss+hhmm,2671976T111111+1111
DDDYYYYThhmmss+hh,2671976T111111+11
DDDYYYYThhmmss-hh:mm,2671976T111111-11:11
DDDYYYYThhmmss-hhmm,2671976T111111-1111
DDDYYYYThhmmss-hh,2671976T111111-11
DDDYYYY hhmmssZ,2671976 111111Z
DDDYYYY hhmmss+hh:mm,2671976 111111+11:11
DDDYYYY hhmmss+hhmm,2671976 111111+1111
DDDYYYY hhmmss+hh,2671976 111111+11
DDDYYYY hhmmss-hh:mm,2671976 111111-11:11
DDDYYYY hhmmss-hhmm,2671976 111111-1111
DDDYYYY hhmmss-hh,2671976 111111-11
DDDYYYYThhmmss.sssZ,2671976T111111.888Z
DDDYYYYThhmmss.sss+hh:mm,2671976T111111.888+11:11
DDDYYYYThhmmss.sss+hhmm,2671976T111111.888+1111
DDDYYYYThhmmss.sss+hh,2671976T111111.888+11
DDDYYYYThhmmss.sss-hh:mm,2671976T111111.888-11:11
DDDYYYYThhmmss.sss-hhmm,2671976T111111.888-1111
DDDYYYYThhmmss.sss-hh,2671976T111111.888-11
DDDYYYY hhmmss.sssZ,2671976 111111.888Z
DDDYYYY hhmmss.sss+hh:mm,2671976 111111.888+11:11
DDDYYYY hhmmss.sss+hhmm,2671976 111111.888+1111
DDDYYYY hhmmss.sss+hh,2671976 111111.888+11
DDDYYYY hhmmss.sss-hh:mm,2671976 111111.888-11:11
DDDYYYY hhmmss.sss-hhmm,2671976 111111.888-1111
DDDYYYY hhmmss.sss-hh,2671976 111111.888-11
DDDYYYYThh:mmZ,2671976T11:11Z
DDDYYYYThh:mm+hh:mm,2671976T11:11+11:11
DDDYYYYThh:mm+hhmm,2671976T11:11+1111
DDDYYYYThh:mm+hh,2671976T11:11+11
DDDYYYYThh:mm-hh:mm,2671976T11:11-11:11
DDDYYYYThh:mm-hhmm,2671976T11:11-1111
DDDYYYYThh:mm-hh,2671976T11:11-11
DDDYYYY hh:mmZ,2671976 11:11Z
DDDYYYY hh:mm+hh:mm,2671976 11:11+11:11
DDDYYYY hh:mm+hhmm,2671976 11:11+1111
DDDYYYY hh:mm+hh,2671976 11:11+11
DDDYYYY hh:mm-hh:mm,2671976 11:11-11:11
DDDYYYY hh:mm-hhmm,2671976 11:11-1111
DDDYYYY hh:mm-hh,2671976 11:11-11
DDDYYYYThh:mm:ssZ,2671976T11:11:11Z
DDDYYYYThh:mm:ss+hh:mm,2671976T11:11:11+11:11
DDDYYYYThh:mm:ss+hhmm,2671976T11:11:11+1111
DDDYYYYThh:mm:ss+hh,2671976T11:11:11+11
DDDYYYYThh:mm:ss-hh:mm,2671976T11:11:11-11:11
DDDYYYYThh:mm:ss-hhmm,2671976T11:11:11-1111
DDDYYYYThh:mm:ss-hh,2671976T11:11:11-11
DDDYYYY hh:mm:ssZ,2671976 11:11:11Z
DDDYYYY hh:mm:ss+hh:mm,2671976 11:11:11+11:11
DDDYYYY hh:mm:ss+hhmm,2671976 11:11:11+1111
DDDYYYY hh:mm:ss+hh,2671976 11:11:11+11
DDDYYYY hh:mm:ss-hh:mm,2671976 11:11:11-11:11
DDDYYYY hh:mm:ss-hhmm,2671976 11:11:11-1111
DDDYYYY hh:mm:ss-hh,2671976 11:11:11-11
DDDYYYYThh:mm:ss.sssZ,2671976T11:11:11.888Z
DDDYYYYThh:mm:ss.sss+hh:mm,2671976T11:11:11.888+11:11
DDDYYYYThh:mm:ss.sss+hhmm,2671976T11:11:11.888+1111
DDDYYYYThh:mm:ss.sss+hh,2671976T11:11:11.888+11
DDDYYYYThh:mm:ss.sss-hh:mm,2671976T11:11:11.888-11:11
DDDYYYYThh:mm:ss.sss-hhmm,2671976T11:11:11.888-1111
DDDYYYYThh:mm:ss.sss-hh,2671976T11:11:11.888-11
DDDYYYY hh:mm:ss.sssZ,2671976 11:11:11.888Z
DDDYYYY hh:mm:ss.sss+hh:mm,2671976 11:11:11.888+11:11
DDDYYYY hh:mm:ss.sss+hhmm,2671976 11:11:11.888+1111
DDDYYYY hh:mm:ss.sss+hh,2671976 11:11:11.888+11
DDDYYYY hh:mm:ss.sss-hh:mm,2671976 11:11:11.888-11:11
DDDYYYY hh:mm:ss.sss-hhmm,2671976 11:11:11.888-1111
DDDYYYY hh:mm:ss.sss-hh,2671976 11:11:11.888-11
DDD/YYYYThhZ,267/1976T11Z
DDD/YYYYThh+hh:mm,267/1976T11+11:11
DDD/YYYYThh+hhmm,267/1976T11+1111
DDD/YYYYThh+hh,267/1976T11+11
DDD/YYYYThh-hh:mm,267/1976T11-11:11
DDD/YYYYThh-hhmm,267/1976T11-1111
DDD/YYYYThh-hh,267/1976T11-11
DDD/YYYY hhZ,267/1976 11Z
DDD/YYYY hh+hh:mm,267/1976 11+11:11
DDD/YYYY hh+hhmm,267/1976 11+1111
DDD/YYYY hh+hh,267/1976 11+11
DDD/YYYY hh-hh:mm,267/1976 11-11:11
DDD/YYYY hh-hhmm,267/1976 11-1111
DDD/YYYY hh-hh,267/1976 11-11
DDD/YYYYThhmmZ,267/1976T1111Z
DDD/YYYYThhmm+hh:mm,267/1976T1111+11:11
DDD/YYYYThhmm+hhmm,267/1976T1111+1111
DDD/YYYYThhmm+hh,267/1976T1111+11
DDD/YYYYThhmm-hh:mm,267/1976T1111-11:11
DDD/YYYYThhmm-hhmm,267/1976T1111-1111
DDD/YYYYThhmm-hh,267/1976T1111-11
DDD/YYYY hhmmZ,267/1976 1111Z
DDD/YYYY hhmm+hh:mm,267/1976 1111+11:11
DDD/YYYY hhmm+hhmm,267/1976 1111+1111
DDD/YYYY hhmm+hh,267/1976 1111+11
DDD/YYYY hhmm-hh:mm,267/1976 1111-11:11
DDD/YYYY hhmm-hhmm,267/1976 1111-1111
DDD/YYYY hhmm-hh,267/1976 1111-11
DDD/YYYYThhmmssZ,267/1976T111111Z
DDD/YYYYThhmmss+hh:mm,267/1976T111111+11:11
DDD/YYYYThhmmss+hhmm,267/1976T111111+1111
DDD/YYYYThhmmss+hh,267/1976T111111+11
DDD/YYYYThhmmss-hh:mm,267/1976T111111-11:11
DDD/YYYYThhmmss-hhmm,267/1976T111111-1111
DDD/YYYYThhmmss-hh,267/1976T111111-11
DDD/YYYY hhmmssZ,267/1976 111111Z
DDD/YYYY hhmmss+hh:mm,267/1976 111111+11:11
DDD/YYYY hhmmss+hhmm,267/1976 111111+1111
DDD/YYYY hhmmss+hh,267/1976 111111+11
DDD/YYYY hhmmss-hh:mm,267/1976 111111-11:11
DDD/YYYY hhmmss-hhmm,267/1976 111111-1111
DDD/YYYY hhmmss-hh,267/1976 111111-11
DDD/YYYYThhmmss.sssZ,267/1976T111111.888Z
DDD/YYYYThhmmss.sss+hh:mm,267/1976T111111.888+11:11
DDD/YYYYThhmmss.sss+hhmm,267/1976T111111.888+1111
DDD/YYYYThhmmss.sss+hh,267/1976T111111.888+11
DDD/YYYYThhmmss.sss-hh:mm,267/1976T111111.888-11:11
DDD/YYYYThhmmss.sss-hhmm,267/1976T111111.888-1111
DDD/YYYYThhmmss.sss-hh,267/1976T111111.888-11
DDD/YYYY hhmmss.sssZ,267/1976 111111.888Z
DDD/YYYY hhmmss.sss+hh:mm,267/1976 111111.888+11:11
DDD/YYYY hhmmss.sss+hhmm,267/1976 111111.888+1111
DDD/YYYY hhmmss.sss+hh,267/1976 111111.888+11
DDD/YYYY hhmmss.sss-hh:mm,267/1976 111111.888-11:11
DDD/YYYY hhmmss.sss-hhmm,267/1976 111111.888-1111
DDD/YYYY hhmmss.sss-hh,267/1976 111111.888-11
DDD/YYYYThh:mmZ,267/1976T11:11Z
DDD/YYYYThh:mm+hh:mm,267/1976T11:11+11:11
DDD/YYYYThh:mm+hhmm,267/1976T11:11+1111
DDD/YYYYThh:mm+hh,267/1976T11:11+11
DDD/YYYYThh:mm-hh:mm,267/1976T11:11-11:11
DDD/YYYYThh:mm-hhmm,267/1976T11:11-1111
DDD/YYYYThh:mm-hh,267/1976T11:11-11
DDD/YYYY hh:mmZ,267/1976 11:11Z
DDD/YYYY hh:mm+hh:mm,267/1976 11:11+11:11
DDD/YYYY hh:mm+hhmm,267/1976 11:11+1111
DDD/YYYY hh:mm+hh,267/1976 11:11+11
DDD/YYYY hh:mm-hh:mm,267/1976 11:11-11:11
DDD/YYYY hh:mm-hhmm,267/1976 11:11-1111
DDD/YYYY hh:mm-hh,267/1976 11:11-11
DDD/YYYYThh:mm:ssZ,267/1976T11:11:11Z
DDD/YYYYThh:mm:ss+hh:mm,267/1976T11:11:11+11:11
DDD/YYYYThh:mm:ss+hhmm,267/1976T11:11:11+1111
DDD/YYYYThh:mm:ss+hh,267/1976T11:11:11+11
DDD/YYYYThh:mm:ss-hh:mm,267/1976T11:11:11-11:11
DDD/YYYYThh:mm:ss-hhmm,267/1976T11:11:11-1111
DDD/YYYYThh:mm:ss-hh,267/1976T11:11:11-11
DDD/YYYY hh:mm:ssZ,267/1976 11:11:11Z
DDD/YYYY hh:mm:ss+hh:mm,267/1976 11:11:11+11:11
DDD/YYYY hh:mm:ss+hhmm,267/1976 11:11:11+1111
DDD/YYYY hh:mm:ss+hh,267/1976 11:11:11+11
DDD/YYYY hh:mm:ss-hh:mm,267/1976 11:11:11-11:11
DDD/YYYY hh:mm:ss-hhmm,267/1976 11:11:11-1111
DDD/YYYY hh:mm:ss-hh,267/1976 11:11:11-11
DDD/YYYYThh:mm:ss.sssZ,267/1976T11:11:11.888Z
DDD/YYYYThh:mm:ss.sss+hh:mm,267/1976T11:11:11.888+11:11
DDD/YYYYThh:mm:ss.sss+hhmm,267/1976T11:11:11.888+1111
DDD/YYYYThh:mm:ss.sss+hh,267/1976T11:11:11.888+11
DDD/YYYYThh:mm:ss.sss-hh:mm,267/1976T11:11:11.888-11:11
DDD/YYYYThh:mm:ss.sss-hhmm,267/1976T11:11:11.888-1111
DDD/YYYYThh:mm:ss.sss-hh,267/1976T11:11:11.888-11
DDD/YYYY hh:mm:ss.sssZ,267/1976 11:11:11.888Z
DDD/YYYY hh:mm:ss.sss+hh:mm,267/1976 11:11:11.888+11:11
DDD/YYYY hh:mm:ss.sss+hhmm,267/1976 11:11:11.888+1111
DDD/YYYY hh:mm:ss.sss+hh,267/1976 11:11:11.888+11
DDD/YYYY hh:mm:ss.sss-hh:mm,267/1976 11:11:11.888-11:11
DDD/YYYY hh:mm:ss.sss-hhmm,267/1976 11:11:11.888-1111
DDD/YYYY hh:mm:ss.sss-hh,267/1976 11:11:11.888-11
DDD-YYYYThhZ,267-1976T11Z
DDD-YYYYThh+hh:mm,267-1976T11+11:11
DDD-YYYYThh+hhmm,267-1976T11+1111
DDD-YYYYThh+hh,267-1976T11+11
DDD-YYYYThh-hh:mm,267-1976T11-11:11
DDD-YYYYThh-hhmm,267-1976T11-1111
DDD-YYYYThh-hh,267-1976T11-11
DDD-YYYY hhZ,267-1976 11Z
DDD-YYYY hh+hh:mm,267-1976 11+11:11
DDD-YYYY hh+hhmm,267-1976 11+1111
DDD-YYYY hh+hh,267-1976 11+11
DDD-YYYY hh-hh:mm,267-1976 11-11:11
DDD-YYYY hh-hhmm,267-1976 11-1111
DDD-YYYY hh-hh,267-1976 11-11
DDD-YYYYThhmmZ,267-1976T1111Z
DDD-YYYYThhmm+hh:mm,267-1976T1111+11:11
DDD-YYYYThhmm+hhmm,267-1976T1111+1111
DDD-YYYYThhmm+hh,267-1976T1111+11
DDD-YYYYThhmm-hh:mm,267-1976T1111-11:11
DDD-YYYYThhmm-hhmm,267-1976T1111-1111
DDD-YYYYThhmm-hh,267-1976T1111-11
DDD-YYYY hhmmZ,267-1976 1111Z
DDD-YYYY hhmm+hh:mm,267-1976 1111+11:11
DDD-YYYY hhmm+hhmm,267-1976 1111+1111
DDD-YYYY hhmm+hh,267-1976 1111+11
DDD-YYYY hhmm-hh:mm,267-1976 1111-11:11
DDD-YYYY hhmm-hhmm,267-1976 1111-1111
DDD-YYYY hhmm-hh,267-1976 1111-11
DDD-YYYYThhmmssZ,267-1976T111111Z
DDD-YYYYThhmmss+hh:mm,267-1976T111111+11:11
DDD-YYYYThhmmss+hhmm,267-1976T111111+1111
DDD-YYYYThhmmss+hh,267-1976T111111+11
DDD-YYYYThhmmss-hh:mm,267-1976T111111-11:11
DDD-YYYYThhmmss-hhmm,267-1976T111111-1111
DDD-YYYYThhmmss-hh,267-1976T111111-11
DDD-YYYY hhmmssZ,267-1976 111111Z
DDD-YYYY hhmmss+hh:mm,267-1976 111111+11:11
DDD-YYYY hhmmss+hhmm,267-1976 111111+1111
DDD-YYYY hhmmss+hh,267-1976 111111+11
DDD-YYYY hhmmss-hh:mm,267-1976 111111-11:11
DDD-YYYY hhmmss-hhmm,267-1976 111111-1111
DDD-YYYY hhmmss-hh,267-1976 111111-11
DDD-YYYYThhmmss.sssZ,267-1976T111111.888Z
DDD-YYYYThhmmss.sss+hh:mm,267-1976T111111.888+11:11
DDD-YYYYThhmmss.sss+hhmm,267-1976T111111.888+1111
DDD-YYYYThhmmss.sss+hh,267-1976T111111.888+11
DDD-YYYYThhmmss.sss-hh:mm,267-1976T111111.888-11:11
DDD-YYYYThhmmss.sss-hhmm,267-1976T111111.888-1111
DDD-YYYYThhmmss.sss-hh,267-1976T111111.888-11
DDD-YYYY hhmmss.sssZ,267-1976 111111.888Z
DDD-YYYY hhmmss.sss+hh:mm,267-1976 111111.888+11:11
DDD-YYYY hhmmss.sss+hhmm,267-1976 111111.888+1111
DDD-YYYY hhmmss.sss+hh,267-1976 111111.888+11
DDD-YYYY hhmmss.sss-hh:mm,267-1976 111111.888-11:11
DDD-YYYY hhmmss.sss-hhmm,267-1976 111111.888-1111
DDD-YYYY hhmmss.sss-hh,267-1976 111111.888-11
DDD-YYYYThh:mmZ,267-1976T11:11Z
DDD-YYYYThh:mm+hh:mm,267-1976T11:11+11:11
DDD-YYYYThh:mm+hhmm,267-1976T11:11+1111
DDD-YYYYThh:mm+hh,267-1976T11:11+11
DDD-YYYYThh:mm-hh:mm,267-1976T11:11-11:11
DDD-YYYYThh:mm-hhmm,267-1976T11:11-1111
DDD-YYYYThh:mm-hh,267-1976T11:11-11
DDD-YYYY hh:mmZ,267-1976 11:11Z
DDD-YYYY hh:mm+hh:mm,267-1976 11:11+11:11
DDD-YYYY hh:mm+hhmm,267-1976 11:11+1111
DDD-YYYY hh:mm+hh,267-1976 11:11+11
DDD-YYYY hh:mm-hh:mm,267-1976 11:11-11:11
DDD-YYYY hh:mm-hhmm,267-1976 11:11-1111
DDD-YYYY hh:mm-hh,267-1976 11:11-11
DDD-YYYYThh:mm:ssZ,267-1976T11:11:11Z
DDD-YYYYThh:mm:ss+hh:mm,267-1976T11:11:11+11:11
DDD-YYYYThh:mm:ss+hhmm,267-1976T11:11:11+1111
DDD-YYYYThh:mm:ss+hh,267-1976T11:11:11+11
DDD-YYYYThh:mm:ss-hh:mm,267-1976T11:11:11-11:11
DDD-YYYYThh:mm:ss-hhmm,267-1976T11:11:11-1111
DDD-YYYYThh:mm:ss-hh,267-1976T11:11:11-11
DDD-YYYY hh:mm:ssZ,267-1976 11:11:11Z
DDD-YYYY hh:mm:ss+hh:mm,267-1976 11:11:11+11:11
DDD-YYYY hh:mm:ss+hhmm,267-1976 11:11:11+1111
DDD-YYYY hh:mm:ss+hh,267-1976 11:11:11+11
DDD-YYYY hh:mm:ss-hh:mm,267-1976 11:11:11-11:11
DDD-YYYY hh:mm:ss-hhmm,267-1976 11:11:11-1111
DDD-YYYY hh:mm:ss-hh,267-1976 11:11:11-11
DDD-YYYYThh:mm:ss.sssZ,267-1976T11:11:11.888Z
DDD-YYYYThh:mm:ss.sss+hh:mm,267-1976T11:11:11.888+11:11
DDD-YYYYThh:mm:ss.sss+hhmm,267-1976T11:11:11.888+1111
DDD-YYYYThh:mm:ss.sss+hh,267-1976T11:11:11.888+11
DDD-YYYYThh:mm:ss.sss-hh:mm,267-1976T11:11:11.888-11:11
DDD-YYYYThh:mm:ss.sss-hhmm,267-1976T11:11:11.888-1111
DDD-YYYYThh:mm:ss.sss-hh,267-1976T11:11:11.888-11
DDD-YYYY hh:mm:ss.sssZ,267-1976 11:11:11.888Z
DDD-YYYY hh:mm:ss.sss+hh:mm,267-1976 11:11:11.888+11:11
DDD-YYYY hh:mm:ss.sss+hhmm,267-1976 11:11:11.888+1111
DDD-YYYY hh:mm:ss.sss+hh,267-1976 11:11:11.888+11
DDD-YYYY hh:mm:ss.sss-hh:mm,267-1976 11:11:11.888-11:11
DDD-YYYY hh:mm:ss.sss-hhmm,267-1976 11:11:11.888-1111
DDD-YYYY hh:mm:ss.sss-hh,267-1976 11:11:11.888-11
YYYY-MM,1976-09
YYYYMM,197609
MMYYYY,091976
MM-YYYY,09-1976
YYYY,1976
